GS,ES1,ES2,Mis,FT,FA,fT,fA
0.999440846832,0.000528212592202,7.51953716134e-06,2.34205383673e-05,0.00894772221681,0.000131430837006,0.985523887941,0.0144761120588
0.99943543627,0.000528119061849,7.52480905933e-06,2.89195997787e-05,0.0109688725384,0.000162412978764,0.985409324151,0.0145906758491
0.999428757042,0.000528003600828,7.53131709267e-06,3.57084409506e-05,0.0134247699083,0.000200726136912,0.9852683428,0.0147316571995
0.999420511488,0.000527861080572,7.53935029867e-06,4.40888499109e-05,0.0163985722805,0.000248119337746,0.985094976021,0.0149050239793
0.999410332151,0.000527685180404,7.54926487631e-06,5.44328490586e-05,0.019984639339,0.000306766289408,0.984881959632,0.0151180403677
0.999397771212,0.000527468117278,7.5614996149e-06,6.71988424779e-05,0.024287976271,0.000379372253413,0.984620468915,0.0153795310849
0.999382271862,0.000527200307317,7.57659462351e-06,8.29513708395e-05,0.0294226487799,0.00046930964645,0.984299802651,0.0157001973493
0.999363149791,0.000526869962068,7.59521427453e-06,0.000102385227036,0.035508876924,0.000580790952203,0.983907002021,0.0160929979792
0.999339563734,0.000526462594525,7.61817501351e-06,0.000126354811001,0.042668569123,0.000719090408209,0.983426384,0.016573616
0.999310483526,0.000525960423679,7.6464790181e-06,0.000155909736753,0.0510191830886,0.000890829921955,0.982838957837,0.017161042163
0.999274639281,0.000525341651682,7.68135459441e-06,0.000192337829725,0.0606659910867,0.00110435012642,0.982121676767,0.017878323233
0.999230479441,0.000524579610013,7.72430459083e-06,0.000237216762554,0.0716930571548,0.00137019502307,0.981246454514,0.0187535454859
0.999176105694,0.000523641739821,7.7771636364e-06,0.000292475620504,0.0841534447819,0.00170174883306,0.980178848112,0.0198211518885
0.999109201744,0.000522488400009,7.84216523658e-06,0.000360467643821,0.0980593290904,0.00211607742484,0.978876278136,0.021123721864
0.999026951351,0.000521071491326,7.92201923584e-06,0.000444055170875,0.113372782227,0.00263504463417,0.977285630587,0.0227143694134
0.99892594019,0.00051933289614,8.01999945764e-06,0.000546707308749,0.129998106273,0.00328679634952,0.975340070144,0.024659929856
0.998802047485,0.000517202759786,8.14004023271e-06,0.000672609949043,0.14777679467,0.00410773160352,0.972954903937,0.0270450960628
0.998650329634,0.000514597669854,8.28683859952e-06,0.000826786230589,0.166486502839,0.00514510641603,0.970022384348,0.0299776156523
0.998464891854,0.000511418835728,8.4659560289e-06,0.00101522319318,0.185845596273,0.0064604332425,0.966405456663,0.0335945433369
0.998238768793,0.000507550454388,8.68390957963e-06,0.00124499694556,0.20552456037,0.00813382595977,0.961930696475,0.0380693035245
0.99796380916,0.000502858531854,8.9482365125e-06,0.0015243839158,0.225164498197,0.0102693561529,0.956381140762,0.0436188592384
0.997630602593,0.000497190575698,9.26750949143e-06,0.00186293970578,0.244401223382,0.0130012585806,0.949490546939,0.0505094530614
0.99722845218,0.000490376701754,9.65127068165e-06,0.0022715199125,0.262891640606,0.0165003337863,0.940941990828,0.0590580091723
0.996745446986,0.000482232872243,1.01098448119e-05,0.00276221019385,0.280338062016,0.0209789842718,0.930375713786,0.0696242862136
0.996168652064,0.000472567075609,1.06539843979e-05,0.00334812772307,0.296506380731,0.0266918294922,0.91741343656,0.0825865634396
0.995484459742,0.000461189279287,1.12943001085e-05,0.00404305678026,0.311235592542,0.033926781329,0.901707764527,0.098292235473
0.994679140166,0.000447925789791,1.20404405669e-05,0.00486089260936,0.324438345073,0.0429793389301,0.883023216352,0.116976783648
0.993739567718,0.000432638119088,1.29000148873e-05,0.00581489554323,0.336094121506,0.0541022168115,0.861346169867,0.138653830133
0.992654069761,0.000415245539259,1.3877303816e-05,0.00691680651331,0.34623774928,0.0674261330118,0.837002610336,0.162997389664
0.991413332434,0.000395749212859,1.49718807439e-05,0.00817594495568,0.354946037802,0.0828589741716,0.810740005469,0.189259994531
0.99001107821,0.000374254227349,1.61773467394e-05,0.00959848831458,0.3623246849,0.0999899771393,0.783718784306,0.216281215694
0.988444336992,0.000350984728117,1.74804543054e-05,0.0111871979456,0.368496756938,0.118045233308,0.757379145737,0.242620854263
0.986712981624,0.000326287024066,1.88609075381e-05,0.0129418719685,0.373593196287,0.135943081103,0.733202350578,0.266797649422
0.984818344133,0.000300616855139,2.02920548895e-05,0.0148607441443,0.377745305512,0.152466047336,0.712442884301,0.287557115699
0.982760847541,0.00027450996251,2.17425223739e-05,0.0169428997431,0.381078905511,0.166505994001,0.695926614942,0.304073385058
